Date,Light Intensity
"November 14, 2021 at 11:13PM",1133
"November 16, 2021 at 09:29AM",2376
"November 16, 2021 at 09:37AM",2337
"November 16, 2021 at 09:39AM",2540
"November 16, 2021 at 11:51AM",1616
"November 16, 2021 at 11:54AM",3050
"November 16, 2021 at 11:54AM",2802
"November 16, 2021 at 11:56AM",2907
"November 16, 2021 at 12:01PM",3031
"November 16, 2021 at 12:02PM",2932
"November 16, 2021 at 12:05PM",2601
"November 16, 2021 at 12:07PM",2235
"November 16, 2021 at 02:03PM",3398
"November 16, 2021 at 02:08PM",3481
"November 16, 2021 at 02:13PM",3561
"November 16, 2021 at 02:18PM",3533
"November 16, 2021 at 02:23PM",3335
"November 16, 2021 at 02:25PM",1123
"November 16, 2021 at 02:27PM",3685
"November 16, 2021 at 04:26PM",146
"November 16, 2021 at 06:25PM",0
"November 16, 2021 at 08:24PM",0
"November 16, 2021 at 10:24PM",0
"November 17, 2021 at 12:23AM",0
"November 17, 2021 at 02:22AM",0
"November 17, 2021 at 04:22AM",0
"November 17, 2021 at 06:21AM",0
"November 17, 2021 at 08:20AM",3248
"November 17, 2021 at 10:20AM",3564
"November 17, 2021 at 12:19PM",3648
"November 17, 2021 at 02:19PM",3737
"November 17, 2021 at 04:18PM",893
"November 17, 2021 at 06:17PM",0
"November 17, 2021 at 08:16PM",0
"November 17, 2021 at 10:16PM",0
"November 18, 2021 at 12:15AM",0
"November 18, 2021 at 02:15AM",0
"November 18, 2021 at 04:14AM",0
"November 18, 2021 at 06:13AM",0
"November 18, 2021 at 08:13AM",3178
"November 18, 2021 at 10:12AM",3546
"November 18, 2021 at 12:12PM",3958
"November 18, 2021 at 02:12PM",3571
"November 18, 2021 at 04:11PM",843
"November 18, 2021 at 06:10PM",0
"November 18, 2021 at 08:10PM",0
"November 18, 2021 at 10:09PM",0
"November 19, 2021 at 12:08AM",0
"November 19, 2021 at 02:08AM",0
"November 19, 2021 at 04:07AM",0
"November 19, 2021 at 06:06AM",0
"November 19, 2021 at 08:06AM",2451
"November 19, 2021 at 10:05AM",3321
"November 19, 2021 at 12:05PM",3456
"November 19, 2021 at 02:04PM",3296
"November 19, 2021 at 04:03PM",920
"November 19, 2021 at 06:03PM",0
"November 19, 2021 at 08:02PM",0
"November 19, 2021 at 10:02PM",0
"November 20, 2021 at 12:01AM",0
"November 20, 2021 at 02:01AM",0
"November 20, 2021 at 04:00AM",0
"November 20, 2021 at 05:59AM",0
"November 20, 2021 at 07:59AM",2071
"November 20, 2021 at 09:58AM",3367
"November 20, 2021 at 11:58AM",3308
"November 20, 2021 at 01:57PM",3050
"November 20, 2021 at 03:56PM",705
"November 20, 2021 at 05:56PM",5
"November 20, 2021 at 07:55PM",0
"November 20, 2021 at 09:55PM",0
"November 20, 2021 at 11:54PM",0
"November 21, 2021 at 01:53AM",0
"November 21, 2021 at 03:53AM",0
"November 21, 2021 at 05:52AM",0
"November 21, 2021 at 07:51AM",2543
"November 21, 2021 at 09:51AM",3471
"November 21, 2021 at 11:50AM",3669
"November 21, 2021 at 12:08PM",1971
"November 21, 2021 at 12:08PM",2128
"November 21, 2021 at 12:09PM",3701
"November 21, 2021 at 12:39PM",3792
"November 21, 2021 at 01:09PM",3877
"November 21, 2021 at 01:39PM",3509
"November 21, 2021 at 02:09PM",3857
"November 21, 2021 at 02:38PM",3266
"November 21, 2021 at 03:08PM",3127
"November 21, 2021 at 03:38PM",2689
"November 21, 2021 at 04:08PM",1765
"November 21, 2021 at 04:38PM",0
"November 21, 2021 at 05:08PM",0
"November 21, 2021 at 05:38PM",0
"November 21, 2021 at 06:08PM",0
"November 21, 2021 at 06:38PM",0
"November 21, 2021 at 07:08PM",0
"November 21, 2021 at 07:37PM",0
"November 21, 2021 at 08:07PM",0
"November 21, 2021 at 08:37PM",0
"November 21, 2021 at 09:07PM",0
"November 21, 2021 at 09:37PM",0
"November 21, 2021 at 10:07PM",0
"November 21, 2021 at 10:37PM",0
"November 21, 2021 at 11:07PM",0
"November 21, 2021 at 11:37PM",0
"November 22, 2021 at 12:07AM",0
"November 22, 2021 at 12:36AM",0
"November 22, 2021 at 01:06AM",0
"November 22, 2021 at 01:36AM",0
"November 22, 2021 at 02:06AM",0
"November 22, 2021 at 02:36AM",0
"November 22, 2021 at 03:06AM",0
"November 22, 2021 at 03:36AM",0
"November 22, 2021 at 04:06AM",0
"November 22, 2021 at 04:36AM",0
"November 22, 2021 at 05:06AM",0
"November 22, 2021 at 05:35AM",0
"November 22, 2021 at 06:05AM",0
"November 22, 2021 at 06:35AM",0
"November 22, 2021 at 07:05AM",19
"November 22, 2021 at 07:35AM",1872
"November 22, 2021 at 08:05AM",3024
"November 22, 2021 at 08:35AM",3314
"November 22, 2021 at 09:05AM",3569
"November 22, 2021 at 09:35AM",3483
"November 22, 2021 at 10:05AM",3523
"November 22, 2021 at 10:34AM",3549
"November 22, 2021 at 11:04AM",3568
"November 22, 2021 at 11:34AM",3594
"November 22, 2021 at 12:04PM",3607
"November 22, 2021 at 12:34PM",3613
"November 22, 2021 at 01:04PM",3623
"November 22, 2021 at 01:34PM",3606
"November 22, 2021 at 02:04PM",3753
"November 22, 2021 at 02:34PM",3529
"November 22, 2021 at 03:04PM",3418
"November 22, 2021 at 03:34PM",3114
"November 22, 2021 at 04:03PM",1986
"November 22, 2021 at 04:33PM",32
"November 22, 2021 at 05:03PM",0
"November 22, 2021 at 05:33PM",0
"November 22, 2021 at 06:03PM",0
"November 22, 2021 at 06:33PM",0
"November 22, 2021 at 07:03PM",0
"November 22, 2021 at 07:33PM",0
"November 22, 2021 at 08:03PM",0
"November 22, 2021 at 08:33PM",0
"November 22, 2021 at 09:02PM",0
"November 22, 2021 at 09:32PM",0
"November 22, 2021 at 10:02PM",0
"November 22, 2021 at 10:32PM",0
"November 22, 2021 at 11:02PM",0
"November 22, 2021 at 11:32PM",0
"November 23, 2021 at 12:02AM",0
"November 23, 2021 at 12:32AM",0
"November 23, 2021 at 01:02AM",0
"November 23, 2021 at 01:31AM",0
"November 23, 2021 at 02:01AM",0
"November 23, 2021 at 02:31AM",0
"November 23, 2021 at 03:01AM",0
"November 23, 2021 at 03:31AM",0
"November 23, 2021 at 04:01AM",0
"November 23, 2021 at 04:31AM",0
"November 23, 2021 at 05:01AM",0
"November 23, 2021 at 05:31AM",0
"November 23, 2021 at 06:01AM",0
"November 23, 2021 at 06:30AM",0
"November 23, 2021 at 07:00AM",0
"November 23, 2021 at 07:30AM",1410
"November 23, 2021 at 08:00AM",3018
"November 23, 2021 at 08:30AM",3199
"November 23, 2021 at 09:00AM",3407
"November 23, 2021 at 09:30AM",3195
"November 23, 2021 at 10:00AM",3354
"November 23, 2021 at 10:30AM",3347
"November 23, 2021 at 11:00AM",3575
"November 23, 2021 at 11:29AM",3607
"November 23, 2021 at 11:59AM",3632
"November 23, 2021 at 12:29PM",3646
"November 23, 2021 at 12:59PM",3656
"November 23, 2021 at 01:29PM",3670
"November 23, 2021 at 01:59PM",3612
"November 23, 2021 at 02:29PM",3535
"November 23, 2021 at 02:59PM",3403
"November 23, 2021 at 03:29PM",3135
"November 23, 2021 at 03:59PM",2200
"November 23, 2021 at 04:28PM",138
"November 23, 2021 at 04:58PM",0
"November 23, 2021 at 05:28PM",0
"November 23, 2021 at 05:58PM",0
"November 23, 2021 at 06:28PM",0
"November 23, 2021 at 06:58PM",0
"November 23, 2021 at 07:28PM",0
"November 23, 2021 at 07:58PM",0
"November 23, 2021 at 08:28PM",0
"November 23, 2021 at 08:58PM",0
"November 23, 2021 at 09:28PM",0
"November 23, 2021 at 09:57PM",0
"November 23, 2021 at 10:27PM",0
"November 23, 2021 at 10:57PM",0
"November 23, 2021 at 11:27PM",0
"November 23, 2021 at 11:57PM",0
"November 24, 2021 at 12:27AM",0
"November 24, 2021 at 12:57AM",0
"November 24, 2021 at 01:27AM",0
"November 24, 2021 at 01:57AM",0
"November 24, 2021 at 02:26AM",0
"November 24, 2021 at 02:56AM",0
"November 24, 2021 at 03:26AM",0
"November 24, 2021 at 03:56AM",0
"November 24, 2021 at 04:26AM",0
"November 24, 2021 at 04:56AM",0
"November 24, 2021 at 05:26AM",0
"November 24, 2021 at 05:56AM",0
"November 24, 2021 at 06:26AM",0
"November 24, 2021 at 06:56AM",0
"November 24, 2021 at 07:25AM",811
"November 24, 2021 at 07:55AM",2403
"November 24, 2021 at 08:25AM",3166
"November 24, 2021 at 08:55AM",3445
"November 24, 2021 at 09:25AM",3459
"November 24, 2021 at 09:55AM",3723
"November 24, 2021 at 10:25AM",3616
"November 24, 2021 at 10:55AM",3435
"November 24, 2021 at 11:25AM",3456
"November 24, 2021 at 11:55AM",3489
"November 24, 2021 at 12:25PM",3549
"November 24, 2021 at 12:54PM",3561
"November 24, 2021 at 01:24PM",3569
